Date,refloc,IndexSeries,IndexSymbol,CreditVix_pc,CreditVix_bp,NearTerm,NextTerm,Percentage_Near,BasisPoint_Near,D1,Percentage_Next,BasisPoint_Next,D2,sigma1sq_pc,sigma2sq_pc,sigma1sq_bp,sigma2sq_bp,T1,T2,IndexVersion
2018-09-18,L1730,29,VIXFS,54.54876609,40.77953567,2018-10-17,2018-11-21,54.55951124,40.70673889,29,54.38295526,41.88507449,64,0.297674027,0.295750582,0.165703859,0.175435946,0.079452055,0.175342466,
2018-09-18,N1730,30,VIXHY,31.77754706,114.9938254,2018-10-17,2018-11-21,31.67665995,114.3470847,29,33.29322554,124.5339235,64,0.100341079,0.110843887,1.307525577,1.550869811,0.079452055,0.175342466,
2018-09-18,L1730,29,VIXIE,45.71723385,31.26039911,2018-10-17,2018-11-21,45.70175734,31.1780703,29,45.95501012,32.50243293,64,0.208865062,0.211186295,0.097207207,0.105640815,0.079452055,0.175342466,
2018-09-18,N1730,30,VIXIG,42.07484195,27.4726042,2018-10-17,2018-11-21,42.00474968,27.33711021,29,43.14031105,29.48146462,64,0.1764399,0.186108644,0.074731759,0.086915676,0.079452055,0.175342466,
2018-09-18,L1730,29,VIXXO,37.8010939,117.5300844,2018-10-17,2018-11-21,37.78691208,117.1883974,29,38.01891395,122.6739824,64,0.142785072,0.144543782,1.373312048,1.504890596,0.079452055,0.175342466,
2018-09-19,L1730,29,VIXFS,53.93959232,41.08621299,2018-10-17,2018-11-21,53.86840873,40.88216351,28,54.45876239,42.55268883,63,0.290180546,0.29657568,0.167135129,0.181073133,0.076712329,0.17260274,
2018-09-19,N1730,30,VIXHY,31.45045607,114.5378802,2018-10-17,2018-11-21,31.22227252,113.1729245,28,33.07573659,124.0896342,63,0.09748303,0.109400435,1.280811083,1.539823732,0.076712329,0.17260274,
2018-09-19,L1730,29,VIXIE,47.42145621,32.17414504,2018-10-17,2018-11-21,47.48472843,32.05470058,28,46.95485486,33.03687826,63,0.225479943,0.220475839,0.102750383,0.109143533,0.076712329,0.17260274,
2018-09-19,N1730,30,VIXIG,41.92257042,27.61219763,2018-10-17,2018-11-21,41.70959504,27.3004619,28,43.45250576,29.79877852,63,0.173969032,0.188812026,0.074531522,0.08879672,0.076712329,0.17260274,
2018-09-19,L1730,29,VIXXO,36.92356932,113.7550333,2018-10-17,2018-11-21,36.79567246,112.7179611,28,37.84827611,121.089137,63,0.135392151,0.1432492,1.270533875,1.466257909,0.076712329,0.17260274,
2018-09-20,L1730,30,VIXFS,52.27589001,45.31583863,2018-10-17,2018-11-21,52.47352228,45.35966507,27,51.34788387,45.11169952,62,0.275347054,0.263660518,0.205749921,0.203506543,0.073972603,0.169863014,
2018-09-20,N1730,30,VIXHY,30.97354266,112.3136856,2018-10-17,2018-11-21,30.44130914,109.3966521,27,33.33462057,124.9742344,62,0.09266733,0.111119693,1.196762749,1.561855926,0.073972603,0.169863014,
2018-09-20,L1730,30,VIXIE,44.26509718,33.84031721,2018-10-17,2018-11-21,44.35276194,33.70052357,27,43.8555827,34.48225134,62,0.196716749,0.192331213,0.113572529,0.118902566,0.073972603,0.169863014,
2018-09-20,N1730,31,VIXIG,42.78945626,30.49777074,2018-10-17,2018-11-21,42.79399403,30.13253792,27,42.76837127,32.13996422,62,0.183132593,0.182913358,0.090796984,0.10329773,0.073972603,0.169863014,
2018-09-20,L1730,30,VIXXO,37.77328235,111.2719446,2018-10-17,2018-11-21,37.61709903,109.9476598,27,38.49047069,117.2274786,62,0.141504614,0.148151633,1.208848789,1.374228175,0.073972603,0.169863014,
2018-09-21,L1730,30,VIXFS,51.79478406,45.32287081,2018-10-17,2018-11-21,51.79927132,45.09257997,26,51.77995861,46.07540548,61,0.268316451,0.268116411,0.203334077,0.212294299,0.071232877,0.167123288,
2018-09-21,N1730,30,VIXHY,31.05611997,112.80542,2018-10-17,2018-11-21,30.28717842,108.7618168,26,33.47082757,125.2380505,61,0.091731318,0.11202963,1.182913279,1.568456929,0.071232877,0.167123288,
2018-09-21,L1730,30,VIXIE,44.77332518,35.02253123,2018-10-17,2018-11-21,44.85575983,34.81170944,26,44.4999352,35.71008929,61,0.201203919,0.198024423,0.121185511,0.127521048,0.071232877,0.167123288,
