ticker,IBOXUMAE CBBT Curncy,ITRXESE CBBT Curncy,IHYG EU Equity,ERIXITSE Index,ERIXCDIG Index,IBOXHYSE CBBT Curncy,VIX Index,ERINCDHY Index,V2X Index,ITRXEBE CBBT Curncy,ERIXITEU Index,ITRXEXE CBBT Curncy,ERIXITXO Index,SPX Index,SX5E Index,TYVIX Index,IEF Equity,AGG Equity,HYG Equity,LQD Equity,TY1 Comdty,SPJGBV Index,JB1 Comdty,SRVIX Index,USFS0110 CMPN Curncy,SPX Index,SX5E Index,IEF Equity,AGG Equity,HYG Equity,LQD Equity,IHYG EU Equity,TY1 Comdty,JB1 Comdty
field,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,TOT_RETURN_INDEX_GROSS_DVDS,TOT_RETURN_INDEX_GROSS_DVDS,TOT_RETURN_INDEX_GROSS_DVDS,TOT_RETURN_INDEX_GROSS_DVDS,TOT_RETURN_INDEX_GROSS_DVDS,TOT_RETURN_INDEX_GROSS_DVDS,TOT_RETURN_INDEX_GROSS_DVDS,YLD_CNV_LAST,YLD_CNV_LAST
date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002-08-29,,,,,,,33.67,,47.25,,,,,917.8,2667.17,,84.44,,,105.64,113.03125,,141.31,,5.1296,1392.497,2973.4094,84.44,,,105.64,,4.377,1.322
2002-08-30,,,,,,,32.64,,46.82,,,,,916.07,2709.29,,84.6,,,105.7,113.171875,,141.3,,5.1657,1389.9058,3020.839,84.6,,,105.7,,4.361,1.323
2002-09-02,,,,,,,,,49.62,,,,,,2639.18,,,,,,,,141.4,,,,2942.6669,,,,,,,1.315
2002-09-03,,,,,,,39.97,,58.06,,,,,878.02,2509.46,,85.23,,,105.65,114.40625,,141.22,,4.9614,1332.204,2798.03,85.52,,,106.1993,,4.219,1.329
2002-09-04,,,,,,,37.44,,57.42,,,,,893.4,2534.01,,85.2,,,106.04,114.625,,141.05,,4.9706,1355.999,2825.4031,85.4899,,,106.5914,,4.194,1.343
2002-09-05,,,,,,,38.86,,55.87,,,,,879.15,2511.53,,85.54,,,106.34,114.953125,,141.12,,4.9471,1334.4322,2800.338,85.831,,,106.8929,,4.157,1.337
2002-09-06,,,,,,,36.33,,48.93,,,,,893.92,2618.18,,84.88,,,105.62,114.078125,,141.6,,5.0607,1356.922,2919.252,85.1688,,,106.1692,,4.257,1.299
2002-09-09,,,,,,,36.45,,50.85,,,,,902.96,2564.81,,84.76,,,105.69,113.96875,,141.62,,5.1096,1370.6707,2859.7449,85.0484,,,106.2395,,4.269,1.297
2002-09-10,,,,,,,35.08,,49.38,,,,,909.58,2639.83,,85.06,,,106.14,114.3125,,142.01,,5.0244,1380.7273,2943.3916,85.3494,,,106.6919,,4.23,1.266
2002-09-11,,,,,,,34.81,,45.76,,,,,909.45,2723.14,,84.75,,,106.0,113.8125,,141.39,,5.0776,1380.7518,3036.2817,85.0383,,,106.5511,,4.287,1.316
2002-09-12,,,,,,,37.5,,49.74,,,,,886.91,2590.18,,85.19,,,106.55,114.46875,,141.47,,4.9654,1346.8416,2888.0322,85.4798,,,107.104,,4.212,1.309
2002-09-13,,,,,,,35.82,,50.23,,,,,889.81,2530.8,,85.59,,,106.73,114.90625,,141.23,,4.9136,1351.2614,2821.8239,85.8812,,,107.2849,,4.162,1.329
2002-09-16,,,,,,,36.74,,50.94,,,,,891.1,2516.31,,85.62,,,107.15,115.125,,141.28,,4.9013,1353.2618,2805.6677,85.9113,,,107.7071,,4.138,1.325
2002-09-17,,,,,,,38.01,,51.56,,,,,873.52,2493.42,,85.9,,,107.23,115.21875,,141.25,,4.7871,1326.5712,2780.1455,86.1923,,,107.7875,,4.127,1.327
2002-09-18,,,,,,,37.52,,56.69,,,,,869.46,2382.7,,86.0,,,107.1,115.265625,,139.26,,4.8265,1320.5178,2656.6935,86.2926,,,107.6569,,4.122,1.4889999999999999
2002-09-19,,,,,,,40.65,,57.49,,,,,843.32,2328.29,,86.43,,,107.1,115.546875,,140.2,,4.7765,1280.8438,2596.0267,86.72409999999999,,,107.6569,,4.09,1.412
2002-09-20,,,,,,,38.98,,55.51,,,,,845.39,2308.03,,86.4,,,107.15,114.6875,,139.48,,4.8175,1283.9923,2573.437,86.694,,,107.7071,,4.187,1.471
