Date,VIXIG Percent,VIXIG Basis Point,VIXHY Percent,VIXHY Basis Point,VIXIE Percent,VIXIE Basis Point,VIXXO Percent,VIXXO Basis Point,VIXFS Percent,VIXFS Basis Point
2019-01-08,51.45995103,43.76335516,42.67056972,185.3016569,50.96250657,47.73244053,45.1136501,173.03196509999998,60.685175300000004,69.60625182
2019-01-09,50.71202354,44.24158816,42.50725723,188.2328191,51.37790496,46.51431161,46.50806996,173.67782759999997,60.92456962,67.81577218
2019-01-10,48.92736585,40.15887021,42.56505199,180.43149409999998,49.944351,43.33979354,51.02546276,185.6562642,62.12091393,70.12662703
2019-01-11,49.03156948,41.0117014,42.85575976,184.4787716,49.27702914,42.23735287,49.59095204,178.5739429,60.74629529,67.17853106
2019-01-14,49.54921581,42.49819789,43.67422292,192.65524630000002,51.01314695,45.07934252,52.941626,196.2765264,60.27385824,66.51483467
2019-01-15,48.38245679,40.57397544,43.11722648,187.4491217,50.52480188,44.13274369,48.609229299999996,176.2632159,60.99319577,65.51293404
2019-01-16,47.96380727,40.12312772,42.36932577,183.80912949999998,48.34437992,41.26005042,45.97947783,163.6822842,58.11404184,59.53726252
2019-01-17,46.81420058,38.21558961,40.20266775,169.89644330000002,47.19118714,40.84337058,43.528166600000006,153.4176666,58.13082411,59.25895002
2019-01-18,44.27851293,35.97683737,38.91337004,161.2624942,45.62862707,39.155755600000006,41.28402624,143.9728804,53.97580909,54.13567804
2019-01-22,47.21524407,39.22993622,41.63326659,178.436101,46.68282165,40.93747881,43.07478772,154.7238265,55.46897171,56.50625077
2019-01-23,47.54749521,39.28674138,40.70223478,173.8705905,46.64412308,40.7870511,43.11884968,155.678672,55.75153522,56.15414327
2019-01-24,48.24786598,39.45752887,42.09349259,177.25434109999998,46.17704483,39.83798902,43.07835595,154.4195053,55.51017627,55.25101234
2019-01-25,46.84032199,37.99878245,40.53734237,166.3737636,45.36638142,37.727405499999996,41.69867999,146.6144392,54.59856003,52.70374337
2019-01-28,47.574056,39.26284474,42.87921331,178.37607130000004,46.54366151,39.91667074,42.79322224,152.96276650000001,55.2793694,54.76748421
2019-01-29,48.12273337,39.58224848,41.81659464,173.50188369999998,46.53613775,39.2893155,43.29326311,154.5363235,56.14267139,54.65649545
2019-01-30,44.59458266,34.84340899,38.95021047,154.62375409999999,45.73710671,37.58181927,42.00022641,146.27201000000002,54.78956064,52.9792382
2019-01-31,43.93477974,32.71838704,39.72408184,156.6388275,44.98500591,35.99541606,41.37528254,138.8133796,53.18651404,49.1580604
2019-02-01,45.72388927,34.57621865,39.24138557,155.985697,47.24517268,38.11932597,42.28202559,142.6437167,57.79059146,54.43240154
2019-02-04,42.62402766,31.96953504,39.10899799,153.6461377,46.76930463,37.93826454,42.51952449,144.1566069,57.43122084,55.50226749
2019-02-05,43.07750869,30.80419293,37.80549525,147.1045445,45.99845358,36.08354935,41.60496536,136.1323996,56.9353544,52.82406896
2019-02-06,44.47795173,33.14046309,38.64936276,152.50902969999999,47.07608736,37.12571609,42.69249911,140.62934750000002,55.57751367,52.47024639
2019-02-07,47.10752744,37.01272098,41.7702736,168.4360151,49.84155111,41.27662584,43.727383,150.6743844,58.62108023,58.10907536
2019-02-08,46.34393617,35.80394899,40.73665091,164.37480459999998,51.45216896,43.065617200000005,44.56484627,154.495024,59.84335018,60.183843
2019-02-11,45.31415239,35.10502239,40.49796845,161.8551198,50.81962553,41.5884833,44.22388753,151.2660501,60.83226548,60.73322295
2019-02-12,42.90526818,31.8244923,38.30167849,149.9788014,50.88365765,40.69009302,44.05154433,146.8857296,59.66804406,57.75618112
2019-02-13,42.34599014,31.36562215,37.21168505,144.7899754,49.50003899,38.93529897,43.51572612,144.0087335,58.96677173,56.29964943
2019-02-14,42.86612664,31.51596443,36.88037361,144.4397571,49.6162651,39.24951019,43.44318384,144.1973516,60.43782617,58.29105605
2019-02-15,42.25118992,30.21576851,36.63915063,140.2650988,48.32059551,37.22092226,42.59931464,136.8620533,59.80851577,56.33413854
2019-02-19,42.81516586,30.33319995,37.07315227,142.92291840000001,48.00975607,36.65157641,41.34595989,132.7274458,58.64477953,52.91453367
2019-02-20,44.67832477,31.49220686,36.47878887,140.73256740000002,48.27256033,36.21156492,41.02833154,131.2347831,57.41059318,49.84117949
2019-02-21,46.01775127,33.33174549,38.22365106,150.96936730000002,48.27007472,36.45385064,41.45597484,134.1130578,57.30247138,50.51826047
2019-02-22,47.9532146,33.94522916,37.9161675,148.4474591,48.41085783,36.92257376,41.06019329,132.04123159999997,56.71405371,51.13024043
2019-02-25,46.33532545,32.92509557,37.18903178,144.7482725,47.85814406,34.74893761,39.78291993,123.4818406,56.53623035,48.21481387
2019-02-26,47.11869941,33.51405522,37.70791824,146.4443209,47.4795373,33.87420221,39.99703031,121.349116,57.13931582,47.61501218
2019-02-27,46.64081648,32.80516862,37.6420223,146.89512309999998,47.98007711,33.74604794,40.09526527,121.25912269999999,55.761752,44.79414296
2019-02-28,46.67559614,32.94333072,37.32704842,145.9103367,48.61794473,34.08262706,39.73107292,121.18831440000001,57.82197578,46.50685898
2019-03-01,45.74904379,31.6002415,36.37780402,141.2298266,48.83621822,34.65286042,40.22455939,125.0925978,56.61332828,46.41020109
2019-03-04,48.25305351,33.8498399,37.65197034,146.27415580000002,48.93900748,34.1414166,40.4357657,123.64810530000001,59.80991255,49.5938095
2019-03-05,49.38579624,35.56398959,38.67934327,151.6545379,49.78673441,34.44024057,41.96164747,128.4255587,62.35164394,51.66105404
2019-03-06,49.92525731,37.11146192,40.3042805,162.455819,50.49015301,35.38187996,42.39034346,131.05591529999998,62.03232228,50.83392521
2019-03-07,51.11801207,38.17745705,41.69584323,170.22774669999998,52.50482478,37.36777485,43.96658772,138.8102543,62.38792418,52.04801246
2019-03-08,50.43195547,37.50719107,41.22015067,167.98582150000001,55.03128594,40.64449235,44.82023309,143.3772304,62.82436979,53.83716812
2019-03-11,49.21561011,34.41229784,39.52890303,158.0344128,51.96725611,36.98852101,44.86296384,140.1798034,63.87579155,52.31684323
2019-03-12,48.05516102,33.8311555,38.25982922,152.6682119,51.28763517,35.58123037,43.96442929999999,133.3204429,61.74939395,50.02106047
2019-03-13,47.96259009,32.54853009,37.7085653,146.88000630000002,49.82358418,33.83769764,42.44271372,125.7825973,60.58173573,48.10181329
2019-03-14,48.07960408,32.201620500000004,38.5662253,150.91153290000003,50.50426777,34.01862272,41.45526797,121.6832886,60.93933959,47.53902383
2019-03-15,46.72953545,31.02731313,35.89402232,142.24681130000002,51.25162738,34.97012557,40.86134522,118.62415220000001,61.50176115,48.32439134
2019-03-18,45.61945274,30.36863704,38.63463407,147.28748000000002,51.0662729,34.60488617,41.17273371,119.8453831,61.5642937,47.72313016
2019-03-19,45.39460237,30.41319853,38.10954273,147.0766811,50.97213382,33.28801446,39.85890741,111.9045043,61.06267612,45.34172761
2019-03-20,43.83117299,33.17316932,36.46561974,143.2675198,50.79890465,37.46319935,42.54200921,122.36710959999999,58.40073242,50.51246716
2019-03-21,44.63199267,33.45008878,36.97189212,141.5358272,55.27111763,41.33307409,46.98957274,137.84528380000003,65.57419909,60.92700166
2019-03-22,49.15198785,38.79776399,39.78554252,158.9030522,60.04772043,47.77133612,56.05840023,177.90135690000002,73.30826635,74.87637140000001
2019-03-25,51.37841599,40.65084889,41.49514989,167.1633084,59.23752738,46.1244745,53.63715284,167.4004057,71.26565413,70.95091672
2019-03-26,49.748372100000005,38.87891839,41.25283959,164.4150883,56.22382727,43.07207781,50.61489397,153.64227549999998,66.88250824,64.53002532
2019-03-27,50.20905634,39.40761238,41.49934617,172.7681364,55.69413026,42.91545893,50.5435881,155.142662,65.72076745,62.50293396
