ticker,ERIXITSE Index,ERIXITSE Index,ERIXCDIG Index,ERIXCDIG Index,IBOXHYSE CBBT Curncy,ERINCDHY Index,ERINCDHY Index,ITRXEBE CBBT Curncy,VIX Index,VIX Index,ERIXITEU Index,ERIXITEU Index,ITRXEXE CBBT Curncy,SX5E Index,SX5E Index,ERIXITXO Index,ERIXITXO Index,IEF Equity,IEF Equity,ITRXESE CBBT Curncy,AGG Equity,AGG Equity,HYG Equity,HYG Equity,SPX Index,SPX Index,LQD Equity,LQD Equity,TYVIX Index,TYVIX Index,TY1 Comdty,SPJGBV Index,SPJGBV Index,JB1 Comdty,SRVIX Index,SRVIX Index,IBOXUMAE CBBT Curncy
1995-05-31,,,,,,,,,12.85,12.85,,,,1377.67,1377.67,,,,,,,,,,533.4,721.0503,,,,,110.25,,,121.16,,,
1995-06-01,,,,,,,,,12.21,12.21,,,,1394.26,1394.26,,,,,,,,,,533.49,721.2352,,,,,110.96875,,,121.05,,,
1995-06-02,,,,,,,,,12.98,12.98,,,,1395.04,1395.04,,,,,,,,,,532.51,720.0282,,,,,111.59375,,,120.01,,,
1995-06-05,,,,,,,,,13.45,13.45,,,,1394.93,1394.93,,,,,,,,,,535.6,724.2063,,,,,111.65625,,,120.69,,,
1995-06-06,,,,,,,,,13.0,13.0,,,,1394.92,1394.92,,,,,,,,,,535.55,724.2564,,,,,111.53125,,,121.24,,,
1995-06-07,,,,,,,,,12.84,12.84,,,,1397.06,1397.06,,,,,,,,,,533.13,720.9837,,,,,110.75,,,120.82,,,
1995-06-08,,,,,,,,,12.89,12.89,,,,1390.89,1390.89,,,,,,,,,,532.35,720.0183,,,,,110.5625,,,119.1,,,
1995-06-09,,,,,,,,,12.76,12.76,,,,1377.42,1377.42,,,,,,,,,,527.94,714.0607,,,,,109.53125,,,119.26,,,
1995-06-12,,,,,,,,,11.91,11.91,,,,1375.53,1375.53,,,,,,,,,,530.88,718.0725,,,,,109.625,,,118.92,,,
1995-06-13,,,,,,,,,11.29,11.29,,,,1376.66,1376.66,,,,,,,,,,536.05,725.3725,,,,,111.21875,,,119.3,,,
1995-06-14,,,,,,,,,11.29,11.29,,,,1373.44,1373.44,,,,,,,,,,536.47,725.9871,,,,,111.125,,,118.82,,,
1995-06-15,,,,,,,,,11.23,11.23,,,,1381.04,1381.04,,,,,,,,,,537.12,726.8726,,,,,110.84375,,,118.45,,,
1995-06-16,,,,,,,,,10.75,10.75,,,,1373.41,1373.41,,,,,,,,,,539.83,730.5429,,,,,110.71875,,,118.67,,,
1995-06-19,,,,,,,,,11.21,11.21,,,,1385.22,1385.22,,,,,,,,,,545.22,737.883,,,,,111.28125,,,119.2,,,
1995-06-20,,,,,,,,,11.16,11.16,,,,1382.7,1382.7,,,,,,,,,,544.98,737.571,,,,,111.03125,,,119.27,,,
1995-06-21,,,,,,,,,11.32,11.32,,,,1383.11,1383.11,,,,,,,,,,543.98,736.2258,,,,,111.15625,,,120.05,,,
1995-06-22,,,,,,,,,11.44,11.44,,,,1395.21,1395.21,,,,,,,,,,551.07,745.8676,,,,,111.28125,,,120.8,,,
1995-06-23,,,,,,,,,11.12,11.12,,,,1390.06,1390.06,,,,,,,,,,549.71,744.0371,,,,,111.0625,,,121.1,,,
1995-06-26,,,,,,,,,11.8,11.8,,,,1390.96,1390.96,,,,,,,,,,544.13,736.491,,,,,110.75,,,121.15,,,
1995-06-27,,,,,,,,,12.37,12.37,,,,1383.23,1383.23,,,,,,,,,,542.43,734.191,,,,,110.46875,,,121.25,,,
1995-06-28,,,,,,,,,11.74,11.74,,,,1369.96,1369.96,,,,,,,,,,544.73,737.6068,,,,,110.8125,,,120.8,,,
1995-06-29,,,,,,,,,11.59,11.59,,,,1369.88,1369.88,,,,,,,,,,543.87,736.4483,,,,,109.65625,,,121.44,,,
1995-06-30,,,,,,,,,11.38,11.38,,,,1362.52,1362.52,,,,,,,,,,544.75,737.795,,,,,110.09375,,,120.78,,,
1995-07-03,,,,,,,,,11.57,11.57,,,,1371.32,1371.32,,,,,,,,,,547.09,741.0058,,,,,110.125,,,121.28,,,
1995-07-04,,,,,,,,,,,,,,1381.8,1381.8,,,,,,,,,,,,,,,,,,,121.39,,,
